"ID","CODIGO","NOMBRE","IS_CORR","PAPEL_A","PAPEL_B","PAPEL_C","GRAM_A","GRAM_B","GRAM_C","CREATED_BY","CREATED_FEC","UPDATED_BY","UPDATED_FEC","ID_PROVEEDOR","COSTO_PROVEEDOR","STYLE","IS_DT","PESOM2"
"1","333","KRAFT      70#","0","0","0","0","130","130","130","","","","","","","KRAFT","0",""
"2","353","KRAFT      90#","0","0","1","0","150","150","150","","","","","","","KRAFT","0",""
"3","553","KRAFT      90#","0","0","1","1","150","150","150","","","","","","","KRAFT","0",""
"4","555","KRAFT      90#","0","1","1","1","150","150","150","","","","","","","KRAFT","0",""
"5","L55","KRAFT     110#","0","1","1","2","150","150","150","","","","","","","LINNER","0",""
"6","B33","BCO          90#","0","0","0","4","130","130","150","","","","","","","BLANCO","0",""
"7","B53","BCO          90#","0","0","1","4","150","150","150","","","","","","","BLANCO","0",""
"8","B55","BCO          90#","0","1","1","4","150","150","150","","","","","","","BLANCO","0",""
"9","B5L","BCO         110#","0","2","1","4","150","150","150","","","","","","","BLANCO","0",""
"10","B5M","BCO         150#","0","3","1","4","150","150","150","","","","","","","BLANCO","0",""
"12","M5L","KRAFT     150#","0","2","1","3","150","150","150","","","","","","","MISIO","0",""
"13","M5M","KRAFT     200#","0","3","1","3","150","150","150","","","","","","","MISIO","0",""
"14","DT150K","KRAFT DT 150#","1","","","","","","","","","","","1","19.085","MISIO DT","1","900"
"15","DT200K","DT KRAFT 200#","1","","","","","","","","","","","1","21.045","MISIO DT","1","900"
"16","DT220K","DT KRAFT 220#","1","","","","","","","","","","","1","","MISIO DT","1","900"
"17","DT150B","DT BCO 150#","1","","","","","","","","","","","1","18.308","BLANCO DT","1","900"
"18","275K","KRAFT 275#","1","","","","","","","","","","","1","","MISIO","0","600"
"19","L5L","DOBLE LINNER","0","2","1","2","150","150","150","","","","","","","LINNER","0","500"
"20","200B","KRAFT B200#","1","","","","","","","","","","","1","","MISIO","0","600"
"21","180K","KRAFT 180#","1","","","","","","","","","","","1","14.775","MISIO","0","600"
"22","DT120L","DT 120# LINNER","1","","","","","","","","","","","1","14.542","LINNER DT","1","900"
"23","M55","KRAFT 150#","0","1","1","3","150","150","150","","","","","","","MISIO","0",""
