"ID","BASE","VERT","DETALLE","IMAGEN","FILENAME","MIMETYPE","LASTUPD"
"5","3","0","BASE 3 (3X1)","[datatype]","modo05.gif","image/gif","08/02/2018"
"6","3","3","BASE 3 + PAQ VERT","[datatype]","modo06.gif","image/gif","08/02/2018"
"7","3","0","BASE 3 (2/1)","[datatype]","modo07.gif","image/gif","08/02/2018"
"8","4","0","BASE 4 (2X2)","[datatype]","modo08.gif","image/gif","08/02/2018"
"10","5","0","BASE 5 (3/2)","[datatype]","modo10.gif","image/gif","08/02/2018"
"12","6","3","BASE 6 + PAQ VERT","[datatype]","modo12.gif","image/gif","08/02/2018"
"13","8","0","BASE 8 (3/3/2)","[datatype]","modo13.gif","image/gif","08/02/2018"
"14","4","0","BASE 4 CRUZADO","[datatype]","modo14.gif","image/gif","08/02/2018"
"15","9","0","BASE 9 (3X3)","[datatype]","modo15.gif","image/gif","08/02/2018"
"18","4","0","BASE 4 (4X1)","[datatype]","modo18.gif","image/gif","08/02/2018"
"20","12","0","BASE 12 (4X3)","[datatype]","modo20.gif","image/gif","08/02/2018"
"9","4","2","BASE 4 + PAQ VERT","[datatype]","modo09.gif","image/gif","08/02/2018"
"11","6","0","BASE 6 (3X2)","[datatype]","modo11.gif","image/gif","08/02/2018"
"19","11","0","BASE 11 (4/4/3)","[datatype]","modo19.gif","image/gif","08/02/2018"
"21","16","0","BASE 16 (4X4)","[datatype]","modo21.gif","image/gif","08/02/2018"
"1","1","0","BASE 1","[datatype]","modo01.gif","image/gif","08/02/2018"
"2","1","1","BASE 1 + PAQ VERT","[datatype]","modo02.gif","image/gif","08/02/2018"
"3","2","0","BASE 2","[datatype]","modo03.gif","image/gif","08/08/2018"
"4","2","2","BASE 2 + PAQ VERT","[datatype]","modo04.gif","image/gif","08/02/2018"
"16","10","0","BASE 10 (4/4/2)","[datatype]","modo16.gif","image/gif","08/02/2018"
"17","12","0","BASE 12 (CERCOS)","[datatype]","modo17.gif","image/gif","08/02/2018"
"22","8","0","BASE 8 (4X2)","[datatype]","modo22.gif","image/gif","08/02/2018"
"23","7","0","BASE 7 (3/2/2)","[datatype]","modo23.gif","image/gif","08/02/2018"
